#Aufgabe 2 Eichung	Kleine Winkel		
# Periodenanzahl	Zeit in s		
1	3.031	3.039	3.038
3	9.179	9.165	9.164
5	15.307	15.291	15.291
7	21.435	21.417	21.411
9	27.563	27.543	27.536
11	33.65	33.667	33.661
13	39.818	39.791	39.784
15	45.946	45.916	45.907
17	52.043	52.032	52.03
19	58.188	58.163	58.155
